X,Y,KnKod,KnNamn
665467.070140572,6601684.23126726,0114,Upplands Väsby
681851.928321289,6610558.70489361,0115,Vallentuna
690104.205107009,6601307.25799878,0117,Österåker
694142.316676954,6577383.08769502,0120,Värmdö
660579.171169428,6592338.84349395,0123,Järfälla
653552.360787483,6585355.53992512,0125,Ekerö
673851.12079862,6567623.76917492,0126,Huddinge
663138.985438948,6561608.60354465,0127,Botkyrka
654340.16469895,6568871.56518929,0128,Salem
678022.159047368,6558562.08865328,0136,Haninge
689694.856395747,6568582.58900976,0138,Tyresö
652401.53535741,6603276.36219347,0139,Upplands-Bro
637149.014796086,6564260.31379658,0140,Nykvarn
673969.735486988,6596172.84809277,0160,Täby
673114.944601174,6590036.1671966,0162,Danderyd
666990.061315135,6593554.61602597,0163,Sollentuna
672461.541847772,6578297.75151807,0180,Stockholm
642474.336175956,6555873.45091784,0181,Södertälje
682577.801911641,6577001.41038408,0182,Nacka
668175.824862247,6585393.1122768,0183,Sundbyberg
671403.950939999,6585537.44789766,0184,Solna
680304.139783666,6585292.98765644,0186,Lidingö
682781.328825328,6590019.67555278,0187,Vaxholm
708565.176375224,6642890.47885437,0188,Norrtälje
660341.11739107,6616410.09885928,0191,Sigtuna
664404.016013653,6538220.17919103,0192,Nynäshamn
639720.36694036,6613313.61413886,0305,Håbo
633314.713974837,6717623.97706623,0319,Älvkarleby
660302.348881096,6626902.17822657,0330,Knivsta
611336.187055248,6662656.37556313,0331,Heby
642207.398037657,6696528.59097124,0360,Tierp
653702.93203674,6650067.577976,0380,Uppsala
621373.209996731,6619476.46470872,0381,Enköping
675494.469517173,6685183.29527432,0382,Östhammar
549492.553548443,6550350.56008766,0428,Vingåker
621045.839098638,6551925.54950195,0461,Gnesta
613101.690262967,6525536.31595496,0480,Nyköping
618786.191962077,6507611.98939949,0481,Oxelösund
599401.581584414,6549792.75362713,0482,Flen
572852.794517459,6540282.95931785,0483,Katrineholm
577179.148505983,6576261.17605601,0484,Eskilstuna
617290.864659096,6580204.57838824,0486,Strängnäs
643671.328219465,6531028.98293813,0488,Trosa
484299.42107892,6454653.83387892,0509,Ödeshög
517128.765000876,6413141.82352864,0512,Ydre
540839.728502454,6429624.27357404,0513,Kinda
505814.485462881,6443704.87750721,0560,Boxholm
565816.277650302,6453705.06199888,0561,Åtvidaberg
542902.798398294,6520320.18768289,0562,Finspång
595247.187174007,6450688.00111302,0563,Valdemarsvik
538999.093842289,6469582.64516238,0580,Linköping
562803.06260433,6500053.38793201,0581,Norrköping
579314.225984652,6474155.99926957,0582,Söderköping
508440.438287249,6499991.13060253,0583,Motala
492236.988914208,6475806.27836045,0584,Vadstena
505170.909893851,6462579.5806155,0586,Mjölby
485538.244107159,6415822.80782181,0604,Aneby
426654.412092657,6359094.48970766,0617,Gnosjö
429379.142437936,6424118.78420001,0642,Mullsjö
442461.404680819,6427237.47939865,0643,Habo
409190.533473913,6350681.86707251,0662,Gislaved
449697.801639833,6371411.87253911,0665,Vaggeryd
466862.463490443,6409420.04108712,0680,Jönköping
475197.15015807,6385803.80810304,0682,Nässjö
441613.996982896,6331940.85175185,0683,Värnamo
476722.385171879,6351808.60272829,0684,Sävsjö
509469.329892805,6356565.67444018,0685,Vetlanda
512229.341703945,6387826.03648431,0686,Eksjö
489010.723254171,6434620.36163512,0687,Tranås
529497.32979946,6321523.39719359,0760,Uppvidinge
514970.96920941,6288964.60944149,0761,Lessebo
497778.484982404,6264585.47174421,0763,Tingsryd
466291.592951067,6302336.44264336,0764,Alvesta
445609.408950551,6272731.29868587,0765,Älmhult
415799.195632841,6267409.32695666,0767,Markaryd
493840.535797383,6307247.20307245,0780,Växjö
426908.660000204,6298947.43246667,0781,Ljungby
553498.388177042,6331585.29412419,0821,Högsby
554388.476030138,6254316.82689697,0834,Torsås
592228.133337702,6262341.81843334,0840,Mörbylånga
545256.174647872,6362752.52012636,0860,Hultsfred
583230.473142604,6327153.46121069,0861,Mönsterås
533115.961319665,6276990.9066545,0862,Emmaboda
574391.6703715,6285238.57786474,0880,Kalmar
550404.456310292,6300613.05843253,0881,Nybro
578522.034892827,6356243.57500252,0882,Oskarshamn
578487.232166772,6411970.88686922,0883,Västervik
546187.585378277,6393549.47149477,0884,Vimmerby
613283.498529439,6321622.67698676,0885,Borgholm
708198.022583718,6374236.47759967,0980,Gotland
472924.879187112,6242408.63077632,1060,Olofström
543827.329133504,6239151.03385117,1080,Karlskrona
512389.625757674,6239884.01465509,1081,Ronneby
492643.424373377,6238711.04340956,1082,Karlshamn
477904.518163192,6217391.08302621,1083,Sölvesborg
384106.986402516,6204545.66267431,1214,Svalöv
387911.694568224,6169452.84071591,1230,Staffanstorp
379724.47721023,6167218.82544289,1231,Burlöv
373854.684994176,6147671.12432089,1233,Vellinge
446568.859084158,6239716.21381011,1256,Östra Göinge
397650.30510092,6242974.5605832,1257,Örkelljunga
373854.567990104,6213567.84623427,1260,Bjuv
378142.922531694,6184167.98549025,1261,Kävlinge
379553.303933588,6174186.20725319,1262,Lomma
389845.527053847,6157582.48189427,1263,Svedala
408741.99176116,6149383.49577317,1264,Skurup
423791.530872226,6168944.25423793,1265,Sjöbo
420267.068649222,6190185.06573166,1266,Hörby
406906.955541647,6199986.38070209,1267,Höör
439927.60569134,6165671.2204549,1270,Tomelilla
469287.155567721,6220673.21995635,1272,Bromölla
434455.420480278,6253233.84233492,1273,Osby
398257.677610631,6229383.19706543,1275,Perstorp
391392.675096562,6220511.50287424,1276,Klippan
373804.039682748,6222783.03550856,1277,Åstorp
364276.974382151,6253309.72189055,1278,Båstad
375645.768903897,6160316.88031468,1280,Malmö
402977.440681042,6169191.16897856,1281,Lund
369096.592289911,6195606.53220821,1282,Landskrona
362851.936927657,6216118.03715043,1283,Helsingborg
354164.862767444,6233287.26240485,1284,Höganäs
392740.274984114,6190790.77244145,1285,Eslöv
424630.914500249,6149156.42199436,1286,Ystad
389823.740170895,6144335.65324723,1287,Trelleborg
448726.055749244,6209933.00609655,1290,Kristianstad
452385.372721399,6157755.80661398,1291,Simrishamn
374750.141125417,6235691.50802735,1292,Ängelholm
420427.017884736,6227527.85971405,1293,Hässleholm
395613.403843549,6315186.54204256,1315,Hylte
376800.231497919,6291536.83087308,1380,Halmstad
390023.08882901,6264050.50063619,1381,Laholm
364281.024738759,6323332.90887324,1382,Falkenberg
344142.576274493,6339563.16525168,1383,Varberg
334185.439743938,6371352.90954137,1384,Kungsbacka
338928.898197002,6395072.19654889,1401,Härryda
329649.643964127,6401679.91656745,1402,Partille
302130.916208109,6402039.89829297,1407,Öckerö
319761.371316401,6440119.31733788,1415,Stenungsund
304295.263314741,6434917.84608211,1419,Tjörn
302077.594981905,6452655.76058189,1421,Orust
